Component#1,Component#2,SMILES1,SMILES2,X#1 (molar fraction).1,X#2 (molar fraction).1,"Temperature, K","Density, g/cm^3",Reference (DOI)
gadolinium nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Gd+3],C(=O)(N)N,0.253,0.667,293.15,1.988,10.1016/j.molliq.2022.119396
gadolinium nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Gd+3],C(=O)(N)N,0.253,0.667,298.15,1.973,10.1016/j.molliq.2022.119396
gadolinium nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Gd+3],C(=O)(N)N,0.253,0.667,303.15,1.969,10.1016/j.molliq.2022.119396
gadolinium nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Gd+3],C(=O)(N)N,0.253,0.667,313.15,1.954,10.1016/j.molliq.2022.119396
gadolinium nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Gd+3],C(=O)(N)N,0.253,0.667,323.15,1.943,10.1016/j.molliq.2022.119396
gadolinium nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Gd+3],C(=O)(N)N,0.253,0.667,333.15,1.933,10.1016/j.molliq.2022.119396
gadolinium nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Gd+3],C(=O)(N)N,0.253,0.667,343.15,1.923,10.1016/j.molliq.2022.119396
gadolinium nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Gd+3],C(=O)(N)N,0.253,0.667,353.15,1.911,10.1016/j.molliq.2022.119396
gadolinium nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Gd+3],C(=O)(N)N,0.253,0.667,363.15,1.898,10.1016/j.molliq.2022.119396
gadolinium nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Gd+3],C(=O)(N)N,0.19,0.75,293.15,1.883,10.1016/j.molliq.2022.119396
gadolinium nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Gd+3],C(=O)(N)N,0.19,0.75,298.15,1.877,10.1016/j.molliq.2022.119396
gadolinium nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Gd+3],C(=O)(N)N,0.19,0.75,303.15,1.874,10.1016/j.molliq.2022.119396
gadolinium nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Gd+3],C(=O)(N)N,0.19,0.75,313.15,1.86,10.1016/j.molliq.2022.119396
gadolinium nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Gd+3],C(=O)(N)N,0.19,0.75,323.15,1.849,10.1016/j.molliq.2022.119396
gadolinium nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Gd+3],C(=O)(N)N,0.19,0.75,333.15,1.84,10.1016/j.molliq.2022.119396
gadolinium nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Gd+3],C(=O)(N)N,0.19,0.75,343.15,1.83,10.1016/j.molliq.2022.119396
gadolinium nitrate,urea,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Gd+3],C(=O)(N)N,0.19,0.75,353.15,1.818,10.1016/j.molliq.2022.119396
