Component#1,Component#2,SMILES1,SMILES2,X#1 (molar fraction),X#2 (molar fraction),"DES melting temperature, K",Reference (DOI),T#1,T#2
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",decan-1-ol,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCO,0.6667,0.3333,255.23,10.1016/j.cej.2020.125173,315.7,280.15
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",3-cyclohexylpropanoic acid,CC1CCC(C(C1)O)C(C)C,C1CCC(CC1)CCC(=O)O,0.5,0.5,262.1,10.3390/molecules26144208,315.7,291.3
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",3-cyclohexylpropanoic acid,CC1CCC(C(C1)O)C(C)C,C1CCC(CC1)CCC(=O)O,0.5,0.5,262.12,10.3390/molecules25051077,315.7,291.3
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",cyclohexanecarboxylic acid,CC1CCC(C(C1)O)C(C)C,C1CCC(CC1)C(=O)O,0.5,0.5,264.22,10.3390/molecules25051077,315.7,299.4
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",acetic acid,CC1CCC(C(C1)O)C(C)C,CC(=O)O,0.5,0.5,265.34,10.1021/acssuschemeng.0c00559,315.7,289.85
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",octanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCC(=O)O,0.4942,0.5058,266.75,10.1016/j.molliq.2020.113667,315.7,288.2
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",octanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCC(=O)O,0.5,0.5,267,10.3390/molecules25051077,315.7,288.2
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",3-cyclohexylpropanoic acid,CC1CCC(C(C1)O)C(C)C,C1CCC(CC1)CCC(=O)O,0.4,0.6,267.91,10.3390/molecules25051077,315.7,291.3
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",2-cyclohexylacetic acid,CC1CCC(C(C1)O)C(C)C,C1CCC(CC1)CC(=O)O,0.45,0.55,272.9,10.3390/molecules26144208,315.7,306.15
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",3-cyclohexylpropanoic acid,CC1CCC(C(C1)O)C(C)C,C1CCC(CC1)CCC(=O)O,0.3,0.7,273.434,10.3390/molecules25051077,315.7,291.3
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",octanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCC(=O)O,0.4,0.6,274,10.3390/molecules25051077,315.7,288.2
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",3-cyclohexylpropanoic acid,CC1CCC(C(C1)O)C(C)C,C1CCC(CC1)CCC(=O)O,0.6,0.4,275.455,10.3390/molecules25051077,315.7,291.3
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",cyclohexanecarboxylic acid,CC1CCC(C(C1)O)C(C)C,C1CCC(CC1)C(=O)O,0.4,0.6,275.48,10.3390/molecules25051077,315.7,299.4
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",octanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCC(=O)O,0.6,0.4,276,10.3390/molecules25051077,315.7,288.2
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",octanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCC(=O)O,0.5981,0.4019,276.4,10.1016/j.molliq.2020.113667,315.7,288.2
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",octanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCC(=O)O,0.5965,0.4035,277.15,10.1016/j.molliq.2020.113667,315.7,288.2
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",cyclohexanecarboxylic acid,CC1CCC(C(C1)O)C(C)C,C1CCC(CC1)C(=O)O,0.6,0.4,277.25,10.3390/molecules25051077,315.7,299.4
"(1r,2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-ol",decanoic acid,CC1CCC(C(C1)O)C(C)C,CCCCCCCCCC(=O)O,0.5963,0.4037,278.1,10.1016/j.molliq.2020.113667,315.7,304.8
